epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.4772,3.81514,5.40403,4.51208,0,0,0,0,3.17562,5.13376,4.15855,2.5e-05,2.5e-05,2.5e-05
2,33.2114,3.57956,5.50787,4.46213,0,0,0,0,3.17513,5.13411,4.15816,6.18813e-05,6.18813e-05,6.18813e-05
3,48.7313,3.64162,5.25806,4.40513,0,0,0,0,3.1746,5.13456,4.15781,9.802e-05,9.802e-05,9.802e-05
4,63.5291,3.65116,5.19021,4.28711,0,0,0,0,3.17403,5.13546,4.15751,0.000133416,0.000133416,0.000133416
5,79.1784,3.7062,5.02333,4.31696,0,0,0,0,3.17337,5.13698,4.15741,0.00016807,0.00016807,0.00016807
6,94.2962,3.75584,5.02508,4.23805,0,0,0,0,3.17307,5.13822,4.15755,0.000201981,0.000201981,0.000201981
7,109.417,3.67707,5.10524,4.28859,0,0,0,0,3.17339,5.14086,4.15798,0.00023515,0.00023515,0.00023515
8,124.212,3.64245,4.94005,4.26152,0,0,0,0,3.17348,5.14131,4.15818,0.000267576,0.000267576,0.000267576
9,138.672,3.6479,4.94141,4.22932,0,0,0,0,3.17367,5.14107,4.15816,0.00029926,0.00029926,0.00029926
10,154.029,3.62386,4.75442,4.19598,0,0,0,0,3.17352,5.14044,4.1583,0.000330201,0.000330201,0.000330201
11,168.633,3.70685,4.64611,4.19894,0,0,0,0,3.17335,5.13644,4.15909,0.0003604,0.0003604,0.0003604
12,183.73,3.32128,4.70126,4.18526,0,0,0,0,3.17294,5.13253,4.15942,0.000389856,0.000389856,0.000389856
13,198.228,3.41704,4.4677,4.13194,0,0,0,0,3.17172,5.11602,4.16015,0.00041857,0.00041857,0.00041857
14,212.664,3.54213,4.24016,4.03386,0,0,0,0,3.17299,5.10714,4.16257,0.000446541,0.000446541,0.000446541
15,228.028,3.39654,4.21432,3.98621,0,0,0,0,3.17859,5.10358,4.16742,0.00047377,0.00047377,0.00047377
16,244.075,3.25475,4.11176,3.93235,0,0,0,0,3.1833,5.10037,4.17077,0.000500256,0.000500256,0.000500256
17,258.853,3.09439,4.14368,3.82323,0,0,0,0,3.19042,5.0743,4.17724,0.000526,0.000526,0.000526
18,273.854,3.02659,3.74703,3.71115,0,0,0,0,3.1944,5.06765,4.18023,0.000551001,0.000551001,0.000551001
19,288.371,2.94754,3.69804,3.60732,0,0,0,0,3.19904,5.05508,4.18413,0.00057526,0.00057526,0.00057526
20,304.646,2.8244,3.78378,3.5442,0,0,0,0,3.19974,5.03914,4.1853,0.000598776,0.000598776,0.000598776
21,319.895,2.8382,3.60203,3.55501,0,0,0,0,3.20371,5.02137,4.18654,0.00062155,0.00062155,0.00062155
22,334.578,2.79467,3.84942,3.5016,0,0,0,0,3.19739,4.99322,4.17885,0.000643581,0.000643581,0.000643581
23,349.023,2.52368,3.51167,3.45123,0,0,0,0,3.17578,4.96311,4.15436,0.00066487,0.00066487,0.00066487
24,363.78,2.49359,3.34698,3.32073,0,0,0,0,3.12894,4.95517,4.12564,0.000685416,0.000685416,0.000685416
25,377.849,2.40012,3.32161,3.28431,0,0,0,0,3.07265,4.9378,4.09183,0.00070522,0.00070522,0.00070522
26,391.085,2.67529,3.67547,3.41939,0,0,0,0,3.04259,4.91339,4.0684,0.000724281,0.000724281,0.000724281
27,404.875,2.57492,3.6915,3.27685,0,0,0,0,3.09678,4.90138,4.09177,0.0007426,0.0007426,0.0007426
28,418.548,2.42129,3.44286,3.08964,0,0,0,0,3.12378,4.87063,4.0926,0.000760176,0.000760176,0.000760176
29,432.725,2.46889,3.51253,3.15779,0,0,0,0,3.12378,4.87063,4.0926,0.00077701,0.00077701,0.00077701
30,447.731,2.22024,3.22299,2.98388,0,0,0,0,3.02464,4.80614,4.0254,0.000793101,0.000793101,0.000793101
31,461.746,2.3781,3.21643,3.02918,0.00093,0.20833,0.00067,7e-05,2.79225,4.70771,3.91523,0.00080845,0.00080845,0.00080845
32,476.501,2.36621,3.37731,3.07449,0.00089,0.20833,0.00064,0.00019,2.58342,4.58551,3.79468,0.000823056,0.000823056,0.000823056
33,491.613,2.30921,2.97977,2.9672,0.00089,0.20833,0.00064,0.00019,2.58342,4.58551,3.79468,0.00083692,0.00083692,0.00083692
34,510.727,2.17464,3.05473,2.82438,0.00354,0.66667,0.01867,0.00423,2.41308,4.40191,3.61034,0.000841625,0.000841625,0.000841625
35,525.19,2.3121,3.18789,2.99833,0.003,0.70833,0.04366,0.01224,2.34358,4.20303,3.26333,0.00082925,0.00082925,0.00082925
36,540.256,2.20651,3.19649,2.8531,0.00312,0.95833,0.23888,0.05532,1.97231,4.14923,3.08822,0.000816875,0.000816875,0.000816875
37,555.172,2.23462,2.83864,2.89892,0.00312,0.95833,0.23888,0.05532,1.97231,4.14923,3.08822,0.0008045,0.0008045,0.0008045
38,570.021,2.35783,2.9854,2.95608,0.00305,0.95833,0.31258,0.07221,2.12773,4.1145,3.05263,0.000792125,0.000792125,0.000792125
39,585.061,2.27734,3.13407,2.92056,0.95247,0.17901,0.46561,0.11153,2.28704,3.92637,2.98606,0.00077975,0.00077975,0.00077975
40,600.23,2.09334,2.88624,2.87297,0.69182,0.20833,0.45756,0.1441,2.3173,3.92133,2.92388,0.000767375,0.000767375,0.000767375
41,615.388,2.07227,2.97916,2.76202,0.69182,0.20833,0.45756,0.1441,2.3173,3.92133,2.92388,0.000755,0.000755,0.000755
42,630.311,2.03152,2.84241,2.71173,0.003,0.95833,0.405,0.15557,2.41391,4.04677,2.94942,0.000742625,0.000742625,0.000742625
43,644.983,2.05076,3.03091,2.72521,0.0034,0.95833,0.38401,0.11549,2.7279,4.36814,3.27015,0.00073025,0.00073025,0.00073025
44,659.625,2.03759,2.72239,2.6793,0.00351,0.875,0.27278,0.07293,2.69987,4.50164,3.39808,0.000717875,0.000717875,0.000717875
45,674.966,1.9845,2.65333,2.669,0.00351,0.875,0.27278,0.07293,2.69987,4.50164,3.39808,0.0007055,0.0007055,0.0007055
46,689.635,2.02124,2.7762,2.71961,0.00702,0.625,0.2496,0.05979,2.48173,4.39137,3.30814,0.000693125,0.000693125,0.000693125
47,704.281,1.97179,2.68739,2.65516,0.30839,0.58333,0.41899,0.09091,2.26467,4.29167,3.24237,0.00068075,0.00068075,0.00068075
48,723.252,2.05008,2.68427,2.66844,0.60725,0.16667,0.42292,0.18121,2.0339,4.13667,3.11816,0.000668375,0.000668375,0.000668375
49,738.46,1.96323,2.64785,2.66762,0.60725,0.16667,0.42292,0.18121,2.0339,4.13667,3.11816,0.000656,0.000656,0.000656
50,753.1,1.93452,2.81681,2.60336,0.91012,0.41667,0.53144,0.2605,1.89187,3.69775,2.93377,0.000643625,0.000643625,0.000643625
51,767.815,1.75176,2.63911,2.53294,0.72499,0.41667,0.68455,0.39373,1.62381,3.08584,2.65941,0.00063125,0.00063125,0.00063125
52,782.535,1.837,2.49775,2.59659,0.69619,0.41667,0.76124,0.45166,1.60385,2.93393,2.77026,0.000618875,0.000618875,0.000618875
53,797.665,1.92756,2.60954,2.59945,0.69619,0.41667,0.76124,0.45166,1.60385,2.93393,2.77026,0.0006065,0.0006065,0.0006065
54,812.251,2.06315,2.68648,2.64681,0.96179,0.39851,0.81625,0.46168,1.66768,3.12694,2.76281,0.000594125,0.000594125,0.000594125
55,826.962,1.87066,2.38156,2.54072,0.71777,0.45833,0.73898,0.41854,1.70187,3.37503,2.70733,0.00058175,0.00058175,0.00058175
56,841.965,2.01409,2.58137,2.62295,0.79075,0.33333,0.71843,0.41654,1.69795,3.59905,2.68566,0.000569375,0.000569375,0.000569375
57,856.717,1.84181,2.51928,2.5028,0.79075,0.33333,0.71843,0.41654,1.69795,3.59905,2.68566,0.000557,0.000557,0.000557
58,885.875,1.78873,2.39861,2.48332,0.75512,0.33333,0.75737,0.47004,1.60522,3.47286,2.55809,0.000544625,0.000544625,0.000544625
59,900.632,1.80398,2.47439,2.50141,0.72207,0.54167,0.79445,0.52466,1.59374,3.13184,2.4628,0.00053225,0.00053225,0.00053225
60,915.637,1.83771,2.50643,2.50409,0.75383,0.54167,0.81635,0.53998,1.61818,3.09233,2.4237,0.000519875,0.000519875,0.000519875
61,930.431,1.89465,2.55942,2.51997,0.75383,0.54167,0.81635,0.53998,1.61818,3.09233,2.4237,0.0005075,0.0005075,0.0005075
62,945.393,1.82801,2.39833,2.47604,0.80805,0.58635,0.91241,0.57593,1.62536,3.05865,2.44164,0.000495125,0.000495125,0.000495125
63,960.069,1.88152,2.51653,2.47653,0.73377,0.80921,0.918,0.56962,1.55514,2.84063,2.40982,0.00048275,0.00048275,0.00048275
64,974.678,1.74041,2.2591,2.44784,0.5809,0.89765,0.76853,0.48782,1.41988,2.57505,2.32092,0.000470375,0.000470375,0.000470375
65,989.244,1.7937,2.29062,2.4055,0.5809,0.89765,0.76853,0.48782,1.41988,2.57505,2.32092,0.000458,0.000458,0.000458
